Fila,n,C(n)
FLEV3,286,1144
FLEV4,286,2285
FLC,287,287
FLEV1,287,860
FLEV2,287,861
FLEV3,287,1148
FLEV4,287,2293
FLC,288,288
FLEV1,288,863
FLEV2,288,864
FLEV3,288,1152
FLEV4,288,2301
FLC,289,289
FLEV1,289,866
FLEV2,289,867
FLEV3,289,1156
FLEV4,289,2309
FLC,290,290
FLEV1,290,869
FLEV2,290,870
FLEV3,290,1160
FLEV4,290,2317
FLC,291,291
FLEV1,291,872
FLEV2,291,873
FLEV3,291,1164
FLEV4,291,2325
FLC,292,292
FLEV1,292,875
FLEV2,292,876
FLEV3,292,1168
FLEV4,292,2333
FLC,293,293
FLEV1,293,878
FLEV2,293,879
FLEV3,293,1172
FLEV4,293,2341
FLC,294,294
FLEV1,294,881
FLEV2,294,882
FLEV3,294,1176
FLEV4,294,2349
FLC,295,295
FLEV1,295,884
FLEV2,295,885
FLEV3,295,1180
FLEV4,295,2357
FLC,296,296
FLEV1,296,887
FLEV2,296,888
FLEV3,296,1184
FLEV4,296,2365
FLC,297,297
FLEV1,297,890
FLEV2,297,891
FLEV3,297,1188
FLEV4,297,2373
FLC,298,298
FLEV1,298,893
FLEV2,298,894
FLEV3,298,1192
FLEV4,298,2381
FLC,299,299
FLEV1,299,896
FLEV2,299,897
FLEV3,299,1196
FLEV4,299,2389
FLC,300,300
FLEV1,300,899
FLEV2,300,900
FLEV3,300,1200
FLEV4,300,2397
FLC,301,301
FLEV1,301,902
FLEV2,301,903
FLEV3,301,1204
FLEV4,301,2405
FLC,302,302
FLEV1,302,905
FLEV2,302,906
FLEV3,302,1208
FLEV4,302,2413
FLC,303,303
FLEV1,303,908
FLEV2,303,909
FLEV3,303,1212
FLEV4,303,2421
FLC,304,304
FLEV1,304,911
FLEV2,304,912
FLEV3,304,1216
FLEV4,304,2429
FLC,305,305
FLEV1,305,914
FLEV2,305,915
FLEV3,305,1220
FLEV4,305,2437
FLC,306,306
FLEV1,306,917
FLEV2,306,918
FLEV3,306,1224
FLEV4,306,2445
FLC,307,307
FLEV1,307,920
FLEV2,307,921
FLEV3,307,1228
FLEV4,307,2453
FLC,308,308
FLEV1,308,923
FLEV2,308,924
FLEV3,308,1232
FLEV4,308,2461
FLC,309,309
FLEV1,309,926
FLEV2,309,927
FLEV3,309,1236
FLEV4,309,2469
FLC,310,310
FLEV1,310,929
FLEV2,310,930
FLEV3,310,1240
FLEV4,310,2477
FLC,311,311
FLEV1,311,932
FLEV2,311,933
FLEV3,311,1244
FLEV4,311,2485
FLC,312,312
FLEV1,312,935
FLEV2,312,936
FLEV3,312,1248
FLEV4,312,2493
FLC,313,313
FLEV1,313,938
FLEV2,313,939
FLEV3,313,1252
FLEV4,313,2501
FLC,314,314
FLEV1,314,941
FLEV2,314,942
FLEV3,314,1256
FLEV4,314,2509
FLC,315,315
FLEV1,315,944
FLEV2,315,945
FLEV3,315,1260
FLEV4,315,2517
FLC,316,316
FLEV1,316,947
FLEV2,316,948
FLEV3,316,1264
FLEV4,316,2525
FLC,317,317
FLEV1,317,950
FLEV2,317,951
FLEV3,317,1268
FLEV4,317,2533
FLC,318,318
FLEV1,318,953
FLEV2,318,954
FLEV3,318,1272
FLEV4,318,2541
FLC,319,319
FLEV1,319,956
FLEV2,319,957
FLEV3,319,1276
FLEV4,319,2549
FLC,320,320
FLEV1,320,959
FLEV2,320,960
FLEV3,320,1280
FLEV4,320,2557
FLC,321,321
FLEV1,321,962
FLEV2,321,963
FLEV3,321,1284
FLEV4,321,2565
FLC,322,322
FLEV1,322,965
FLEV2,322,966
FLEV3,322,1288
FLEV4,322,2573
FLC,323,323
FLEV1,323,968
FLEV2,323,969
FLEV3,323,1292
FLEV4,323,2581
FLC,324,324
FLEV1,324,971
FLEV2,324,972
FLEV3,324,1296
FLEV4,324,2589
FLC,325,325
FLEV1,325,974
FLEV2,325,975
FLEV3,325,1300
FLEV4,325,2597
FLC,326,326
FLEV1,326,977
FLEV2,326,978
FLEV3,326,1304
FLEV4,326,2605
FLC,327,327
FLEV1,327,980
FLEV2,327,981
FLEV3,327,1308
FLEV4,327,2613
FLC,328,328
FLEV1,328,983
FLEV2,328,984
FLEV3,328,1312
FLEV4,328,2621
FLC,329,329
FLEV1,329,986
FLEV2,329,987
FLEV3,329,1316
FLEV4,329,2629
FLC,330,330
FLEV1,330,989
FLEV2,330,990
FLEV3,330,1320
FLEV4,330,2637
FLC,331,331
FLEV1,331,992
FLEV2,331,993
FLEV3,331,1324
FLEV4,331,2645
FLC,332,332
FLEV1,332,995
FLEV2,332,996
FLEV3,332,1328
FLEV4,332,2653
FLC,333,333
FLEV1,333,998
FLEV2,333,999
FLEV3,333,1332
FLEV4,333,2661
FLC,334,334
FLEV1,334,1001
FLEV2,334,1002
FLEV3,334,1336
FLEV4,334,2669
FLC,335,335
FLEV1,335,1004
FLEV2,335,1005
FLEV3,335,1340
FLEV4,335,2677
FLC,336,336
FLEV1,336,1007
FLEV2,336,1008
FLEV3,336,1344
FLEV4,336,2685
FLC,337,337
FLEV1,337,1010
FLEV2,337,1011
FLEV3,337,1348
FLEV4,337,2693
FLC,338,338
FLEV1,338,1013
FLEV2,338,1014
FLEV3,338,1352
FLEV4,338,2701
FLC,339,339
FLEV1,339,1016
FLEV2,339,1017
FLEV3,339,1356
FLEV4,339,2709
FLC,340,340
FLEV1,340,1019
FLEV2,340,1020
FLEV3,340,1360
FLEV4,340,2717
FLC,341,341
FLEV1,341,1022
FLEV2,341,1023
FLEV3,341,1364
FLEV4,341,2725
FLC,342,342
FLEV1,342,1025
FLEV2,342,1026
FLEV3,342,1368
FLEV4,342,2733
FLC,343,343
FLEV1,343,1028
FLEV2,343,1029
FLEV3,343,1372
FLEV4,343,2741
FLC,344,344
FLEV1,344,1031
FLEV2,344,1032
FLEV3,344,1376
FLEV4,344,2749
FLC,345,345
FLEV1,345,1034
FLEV2,345,1035
FLEV3,345,1380
FLEV4,345,2757
FLC,346,346
FLEV1,346,1037
FLEV2,346,1038
FLEV3,346,1384
FLEV4,346,2765
FLC,347,347
FLEV1,347,1040
FLEV2,347,1041
FLEV3,347,1388
FLEV4,347,2773
FLC,348,348
FLEV1,348,1043
FLEV2,348,1044
FLEV3,348,1392
FLEV4,348,2781
FLC,349,349
FLEV1,349,1046
FLEV2,349,1047
FLEV3,349,1396
FLEV4,349,2789
FLC,350,350
FLEV1,350,1049
FLEV2,350,1050
FLEV3,350,1400
FLEV4,350,2797
FLC,351,351
FLEV1,351,1052
FLEV2,351,1053
FLEV3,351,1404
FLEV4,351,2805
FLC,352,352
FLEV1,352,1055
FLEV2,352,1056
FLEV3,352,1408
FLEV4,352,2813
FLC,353,353
FLEV1,353,1058
FLEV2,353,1059
FLEV3,353,1412
FLEV4,353,2821
FLC,354,354
FLEV1,354,1061
FLEV2,354,1062
FLEV3,354,1416
FLEV4,354,2829
FLC,355,355
FLEV1,355,1064
FLEV2,355,1065
FLEV3,355,1420
FLEV4,355,2837
FLC,356,356
FLEV1,356,1067
FLEV2,356,1068
FLEV3,356,1424
FLEV4,356,2845
FLC,357,357
FLEV1,357,1070
FLEV2,357,1071
FLEV3,357,1428
FLEV4,357,2853
FLC,358,358
FLEV1,358,1073
FLEV2,358,1074
FLEV3,358,1432
FLEV4,358,2861
FLC,359,359
FLEV1,359,1076
FLEV2,359,1077
FLEV3,359,1436
FLEV4,359,2869
FLC,360,360
FLEV1,360,1079
FLEV2,360,1080
FLEV3,360,1440
FLEV4,360,2877
FLC,361,361
FLEV1,361,1082
FLEV2,361,1083
FLEV3,361,1444
FLEV4,361,2885
FLC,362,362
FLEV1,362,1085
FLEV2,362,1086
FLEV3,362,1448
FLEV4,362,2893
FLC,363,363
FLEV1,363,1088
FLEV2,363,1089
FLEV3,363,1452
FLEV4,363,2901
FLC,364,364
FLEV1,364,1091
FLEV2,364,1092
FLEV3,364,1456
FLEV4,364,2909
FLC,365,365
FLEV1,365,1094
FLEV2,365,1095
FLEV3,365,1460
FLEV4,365,2917
FLC,366,366
FLEV1,366,1097
FLEV2,366,1098
FLEV3,366,1464
FLEV4,366,2925
FLC,367,367
FLEV1,367,1100
FLEV2,367,1101
FLEV3,367,1468
FLEV4,367,2933
FLC,368,368
FLEV1,368,1103
FLEV2,368,1104
FLEV3,368,1472
FLEV4,368,2941
FLC,369,369
FLEV1,369,1106
FLEV2,369,1107
FLEV3,369,1476
FLEV4,369,2949
FLC,370,370
FLEV1,370,1109
FLEV2,370,1110
FLEV3,370,1480
FLEV4,370,2957
FLC,371,371
FLEV1,371,1112
FLEV2,371,1113
FLEV3,371,1484
FLEV4,371,2965
FLC,372,372
FLEV1,372,1115
FLEV2,372,1116
FLEV3,372,1488
FLEV4,372,2973
FLC,373,373
FLEV1,373,1118
FLEV2,373,1119
FLEV3,373,1492
FLEV4,373,2981
FLC,374,374
FLEV1,374,1121
FLEV2,374,1122
FLEV3,374,1496
FLEV4,374,2989
FLC,375,375
FLEV1,375,1124
FLEV2,375,1125
FLEV3,375,1500
FLEV4,375,2997
FLC,376,376
FLEV1,376,1127
FLEV2,376,1128
FLEV3,376,1504
FLEV4,376,3005
FLC,377,377
FLEV1,377,1130
FLEV2,377,1131
FLEV3,377,1508
FLEV4,377,3013
FLC,378,378
FLEV1,378,1133
FLEV2,378,1134
FLEV3,378,1512
FLEV4,378,3021
FLC,379,379
FLEV1,379,1136
FLEV2,379,1137
FLEV3,379,1516
FLEV4,379,3029
FLC,380,380
FLEV1,380,1139
FLEV2,380,1140
FLEV3,380,1520
FLEV4,380,3037
FLC,381,381
FLEV1,381,1142
FLEV2,381,1143
FLEV3,381,1524
FLEV4,381,3045
FLC,382,382
FLEV1,382,1145
FLEV2,382,1146
FLEV3,382,1528
FLEV4,382,3053
FLC,383,383
FLEV1,383,1148
FLEV2,383,1149
FLEV3,383,1532
FLEV4,383,3061
FLC,384,384
FLEV1,384,1151
FLEV2,384,1152
FLEV3,384,1536
FLEV4,384,3069
FLC,385,385
FLEV1,385,1154
FLEV2,385,1155
FLEV3,385,1540
FLEV4,385,3077
FLC,386,386
FLEV1,386,1157
FLEV2,386,1158
FLEV3,386,1544
FLEV4,386,3085
FLC,387,387
FLEV1,387,1160
FLEV2,387,1161
FLEV3,387,1548
FLEV4,387,3093
FLC,388,388
FLEV1,388,1163
FLEV2,388,1164
FLEV3,388,1552
FLEV4,388,3101
FLC,389,389
FLEV1,389,1166
FLEV2,389,1167
FLEV3,389,1556
FLEV4,389,3109
FLC,390,390
FLEV1,390,1169
FLEV2,390,1170
FLEV3,390,1560
FLEV4,390,3117
FLC,391,391
FLEV1,391,1172
FLEV2,391,1173
FLEV3,391,1564
FLEV4,391,3125
FLC,392,392
FLEV1,392,1175
FLEV2,392,1176
FLEV3,392,1568
FLEV4,392,3133
FLC,393,393
FLEV1,393,1178
FLEV2,393,1179
FLEV3,393,1572
FLEV4,393,3141
FLC,394,394
FLEV1,394,1181
FLEV2,394,1182
FLEV3,394,1576
FLEV4,394,3149
FLC,395,395
FLEV1,395,1184
FLEV2,395,1185
FLEV3,395,1580
FLEV4,395,3157
FLC,396,396
FLEV1,396,1187
FLEV2,396,1188
FLEV3,396,1584
FLEV4,396,3165
FLC,397,397
FLEV1,397,1190
FLEV2,397,1191
FLEV3,397,1588
FLEV4,397,3173
FLC,398,398
FLEV1,398,1193
FLEV2,398,1194
FLEV3,398,1592
FLEV4,398,3181
FLC,399,399
FLEV1,399,1196
FLEV2,399,1197
FLEV3,399,1596
FLEV4,399,3189
FLC,400,400
FLEV1,400,1199
FLEV2,400,1200
FLEV3,400,1600
FLEV4,400,3197
FLC,401,401
FLEV1,401,1202
FLEV2,401,1203
FLEV3,401,1604
FLEV4,401,3205
FLC,402,402
FLEV1,402,1205
FLEV2,402,1206
FLEV3,402,1608
FLEV4,402,3213
FLC,403,403
FLEV1,403,1208
FLEV2,403,1209
FLEV3,403,1612
FLEV4,403,3221
FLC,404,404
FLEV1,404,1211
FLEV2,404,1212
FLEV3,404,1616
FLEV4,404,3229
FLC,405,405
FLEV1,405,1214
FLEV2,405,1215
FLEV3,405,1620
FLEV4,405,3237
FLC,406,406
FLEV1,406,1217
FLEV2,406,1218
FLEV3,406,1624
FLEV4,406,3245
FLC,407,407
FLEV1,407,1220
FLEV2,407,1221
FLEV3,407,1628
FLEV4,407,3253
FLC,408,408
FLEV1,408,1223
FLEV2,408,1224
FLEV3,408,1632
FLEV4,408,3261
FLC,409,409
FLEV1,409,1226
FLEV2,409,1227
FLEV3,409,1636
FLEV4,409,3269
FLC,410,410
FLEV1,410,1229
FLEV2,410,1230
FLEV3,410,1640
FLEV4,410,3277
FLC,411,411
FLEV1,411,1232
FLEV2,411,1233
FLEV3,411,1644
FLEV4,411,3285
FLC,412,412
FLEV1,412,1235
FLEV2,412,1236
FLEV3,412,1648
FLEV4,412,3293
FLC,413,413
FLEV1,413,1238
FLEV2,413,1239
FLEV3,413,1652
FLEV4,413,3301
FLC,414,414
FLEV1,414,1241
FLEV2,414,1242
FLEV3,414,1656
FLEV4,414,3309
FLC,415,415
FLEV1,415,1244
FLEV2,415,1245
FLEV3,415,1660
FLEV4,415,3317
FLC,416,416
FLEV1,416,1247
FLEV2,416,1248
FLEV3,416,1664
FLEV4,416,3325
FLC,417,417
FLEV1,417,1250
FLEV2,417,1251
FLEV3,417,1668
FLEV4,417,3333
FLC,418,418
FLEV1,418,1253
FLEV2,418,1254
FLEV3,418,1672
FLEV4,418,3341
FLC,419,419
FLEV1,419,1256
FLEV2,419,1257
FLEV3,419,1676
FLEV4,419,3349
FLC,420,420
FLEV1,420,1259
FLEV2,420,1260
FLEV3,420,1680
FLEV4,420,3357
FLC,421,421
FLEV1,421,1262
FLEV2,421,1263
FLEV3,421,1684
FLEV4,421,3365
FLC,422,422
FLEV1,422,1265
FLEV2,422,1266
FLEV3,422,1688
FLEV4,422,3373
FLC,423,423
FLEV1,423,1268
FLEV2,423,1269
FLEV3,423,1692
FLEV4,423,3381
FLC,424,424
FLEV1,424,1271
FLEV2,424,1272
FLEV3,424,1696
FLEV4,424,3389
FLC,425,425
FLEV1,425,1274
FLEV2,425,1275
FLEV3,425,1700
FLEV4,425,3397
FLC,426,426
FLEV1,426,1277
FLEV2,426,1278
FLEV3,426,1704
FLEV4,426,3405
FLC,427,427
FLEV1,427,1280
FLEV2,427,1281
FLEV3,427,1708
FLEV4,427,3413
FLC,428,428
FLEV1,428,1283
FLEV2,428,1284
FLEV3,428,1712
FLEV4,428,3421
FLC,429,429
FLEV1,429,1286
FLEV2,429,1287
FLEV3,429,1716
FLEV4,429,3429
FLC,430,430
FLEV1,430,1289
FLEV2,430,1290
FLEV3,430,1720
FLEV4,430,3437
FLC,431,431
FLEV1,431,1292
FLEV2,431,1293
FLEV3,431,1724
FLEV4,431,3445
FLC,432,432
FLEV1,432,1295
FLEV2,432,1296
FLEV3,432,1728
FLEV4,432,3453
FLC,433,433
FLEV1,433,1298
FLEV2,433,1299
FLEV3,433,1732
FLEV4,433,3461
FLC,434,434
FLEV1,434,1301
FLEV2,434,1302
FLEV3,434,1736
FLEV4,434,3469
FLC,435,435
FLEV1,435,1304
FLEV2,435,1305
FLEV3,435,1740
FLEV4,435,3477
FLC,436,436
FLEV1,436,1307
FLEV2,436,1308
FLEV3,436,1744
FLEV4,436,3485
FLC,437,437
FLEV1,437,1310
FLEV2,437,1311
FLEV3,437,1748
FLEV4,437,3493
FLC,438,438
FLEV1,438,1313
FLEV2,438,1314
FLEV3,438,1752
FLEV4,438,3501
FLC,439,439
FLEV1,439,1316
FLEV2,439,1317
FLEV3,439,1756
FLEV4,439,3509
FLC,440,440
FLEV1,440,1319
FLEV2,440,1320
FLEV3,440,1760
FLEV4,440,3517
FLC,441,441
FLEV1,441,1322
FLEV2,441,1323
FLEV3,441,1764
FLEV4,441,3525
FLC,442,442
FLEV1,442,1325
FLEV2,442,1326
FLEV3,442,1768
FLEV4,442,3533
FLC,443,443
FLEV1,443,1328
FLEV2,443,1329
FLEV3,443,1772
FLEV4,443,3541
FLC,444,444
FLEV1,444,1331
FLEV2,444,1332
FLEV3,444,1776
FLEV4,444,3549
FLC,445,445
FLEV1,445,1334
FLEV2,445,1335
FLEV3,445,1780
FLEV4,445,3557
FLC,446,446
FLEV1,446,1337
FLEV2,446,1338
FLEV3,446,1784
FLEV4,446,3565
FLC,447,447
FLEV1,447,1340
FLEV2,447,1341
FLEV3,447,1788
FLEV4,447,3573
FLC,448,448
FLEV1,448,1343
FLEV2,448,1344
FLEV3,448,1792
FLEV4,448,3581
FLC,449,449
FLEV1,449,1346
FLEV2,449,1347
FLEV3,449,1796
FLEV4,449,3589
FLC,450,450
FLEV1,450,1349
FLEV2,450,1350
FLEV3,450,1800
FLEV4,450,3597
FLC,451,451
FLEV1,451,1352
FLEV2,451,1353
FLEV3,451,1804
FLEV4,451,3605
FLC,452,452
FLEV1,452,1355
FLEV2,452,1356
FLEV3,452,1808
FLEV4,452,3613
FLC,453,453
FLEV1,453,1358
FLEV2,453,1359
FLEV3,453,1812
FLEV4,453,3621
FLC,454,454
FLEV1,454,1361
FLEV2,454,1362
FLEV3,454,1816
FLEV4,454,3629
FLC,455,455
FLEV1,455,1364
FLEV2,455,1365
FLEV3,455,1820
FLEV4,455,3637
FLC,456,456
FLEV1,456,1367
FLEV2,456,1368
FLEV3,456,1824
FLEV4,456,3645
FLC,457,457
FLEV1,457,1370
FLEV2,457,1371
FLEV3,457,1828
FLEV4,457,3653
FLC,458,458
FLEV1,458,1373
FLEV2,458,1374
FLEV3,458,1832
FLEV4,458,3661
FLC,459,459
FLEV1,459,1376
FLEV2,459,1377
FLEV3,459,1836
FLEV4,459,3669
FLC,460,460
FLEV1,460,1379
FLEV2,460,1380
FLEV3,460,1840
FLEV4,460,3677
FLC,461,461
FLEV1,461,1382
FLEV2,461,1383
FLEV3,461,1844
FLEV4,461,3685
FLC,462,462
FLEV1,462,1385
FLEV2,462,1386
FLEV3,462,1848
FLEV4,462,3693
FLC,463,463
FLEV1,463,1388
FLEV2,463,1389
FLEV3,463,1852
FLEV4,463,3701
FLC,464,464
FLEV1,464,1391
FLEV2,464,1392
FLEV3,464,1856
FLEV4,464,3709
FLC,465,465
FLEV1,465,1394
FLEV2,465,1395
FLEV3,465,1860
FLEV4,465,3717
FLC,466,466
FLEV1,466,1397
FLEV2,466,1398
FLEV3,466,1864
FLEV4,466,3725
FLC,467,467
FLEV1,467,1400
FLEV2,467,1401
FLEV3,467,1868
FLEV4,467,3733
FLC,468,468
FLEV1,468,1403
FLEV2,468,1404
FLEV3,468,1872
FLEV4,468,3741
FLC,469,469
FLEV1,469,1406
FLEV2,469,1407
FLEV3,469,1876
FLEV4,469,3749
FLC,470,470
FLEV1,470,1409
FLEV2,470,1410
FLEV3,470,1880
FLEV4,470,3757
FLC,471,471
FLEV1,471,1412
FLEV2,471,1413
FLEV3,471,1884
FLEV4,471,3765
FLC,472,472
FLEV1,472,1415
FLEV2,472,1416
FLEV3,472,1888
FLEV4,472,3773
FLC,473,473
FLEV1,473,1418
FLEV2,473,1419
FLEV3,473,1892
FLEV4,473,3781
FLC,474,474
FLEV1,474,1421
FLEV2,474,1422
FLEV3,474,1896
FLEV4,474,3789
FLC,475,475
FLEV1,475,1424
FLEV2,475,1425
FLEV3,475,1900
FLEV4,475,3797
FLC,476,476
FLEV1,476,1427
FLEV2,476,1428
FLEV3,476,1904
FLEV4,476,3805
FLC,477,477
FLEV1,477,1430
FLEV2,477,1431
FLEV3,477,1908
FLEV4,477,3813
FLC,478,478
FLEV1,478,1433
FLEV2,478,1434
FLEV3,478,1912
FLEV4,478,3821
FLC,479,479
FLEV1,479,1436
FLEV2,479,1437
FLEV3,479,1916
FLEV4,479,3829
FLC,480,480
FLEV1,480,1439
FLEV2,480,1440
FLEV3,480,1920
FLEV4,480,3837
FLC,481,481
FLEV1,481,1442
FLEV2,481,1443
FLEV3,481,1924
FLEV4,481,3845
FLC,482,482
FLEV1,482,1445
FLEV2,482,1446
FLEV3,482,1928
FLEV4,482,3853
FLC,483,483
FLEV1,483,1448
FLEV2,483,1449
FLEV3,483,1932
FLEV4,483,3861
FLC,484,484
FLEV1,484,1451
FLEV2,484,1452
FLEV3,484,1936
FLEV4,484,3869
FLC,485,485
FLEV1,485,1454
FLEV2,485,1455
FLEV3,485,1940
FLEV4,485,3877
FLC,486,486
FLEV1,486,1457
FLEV2,486,1458
FLEV3,486,1944
FLEV4,486,3885
FLC,487,487
FLEV1,487,1460
FLEV2,487,1461
FLEV3,487,1948
FLEV4,487,3893
FLC,488,488
FLEV1,488,1463
FLEV2,488,1464
FLEV3,488,1952
FLEV4,488,3901
FLC,489,489
FLEV1,489,1466
FLEV2,489,1467
FLEV3,489,1956
FLEV4,489,3909
FLC,490,490
FLEV1,490,1469
FLEV2,490,1470
FLEV3,490,1960
FLEV4,490,3917
FLC,491,491
FLEV1,491,1472
FLEV2,491,1473
FLEV3,491,1964
FLEV4,491,3925
FLC,492,492
FLEV1,492,1475
FLEV2,492,1476
FLEV3,492,1968
FLEV4,492,3933
FLC,493,493
FLEV1,493,1478
FLEV2,493,1479
FLEV3,493,1972
FLEV4,493,3941
FLC,494,494
FLEV1,494,1481
FLEV2,494,1482
FLEV3,494,1976
FLEV4,494,3949
FLC,495,495
FLEV1,495,1484
FLEV2,495,1485
FLEV3,495,1980
FLEV4,495,3957
FLC,496,496
FLEV1,496,1487
FLEV2,496,1488
FLEV3,496,1984
FLEV4,496,3965
FLC,497,497
FLEV1,497,1490
FLEV2,497,1491
FLEV3,497,1988
FLEV4,497,3973
FLC,498,498
FLEV1,498,1493
FLEV2,498,1494
FLEV3,498,1992
FLEV4,498,3981
FLC,499,499
FLEV1,499,1496
FLEV2,499,1497
FLEV3,499,1996
FLEV4,499,3989
FLC,500,500
FLEV1,500,1499
FLEV2,500,1500
FLEV3,500,2000
FLEV4,500,3997
FLC,501,501
FLEV1,501,1502
FLEV2,501,1503
FLEV3,501,2004
FLEV4,501,4005
FLC,502,502
FLEV1,502,1505
FLEV2,502,1506
FLEV3,502,2008
FLEV4,502,4013
FLC,503,503
FLEV1,503,1508
FLEV2,503,1509
FLEV3,503,2012
FLEV4,503,4021
FLC,504,504
FLEV1,504,1511
FLEV2,504,1512
FLEV3,504,2016
FLEV4,504,4029
FLC,505,505
FLEV1,505,1514
FLEV2,505,1515
FLEV3,505,2020
FLEV4,505,4037
FLC,506,506
FLEV1,506,1517
FLEV2,506,1518
FLEV3,506,2024
FLEV4,506,4045
FLC,507,507
FLEV1,507,1520
FLEV2,507,1521
FLEV3,507,2028
FLEV4,507,4053
FLC,508,508
FLEV1,508,1523
FLEV2,508,1524
FLEV3,508,2032
FLEV4,508,4061
FLC,509,509
FLEV1,509,1526
FLEV2,509,1527
FLEV3,509,2036
FLEV4,509,4069
FLC,510,510
FLEV1,510,1529
FLEV2,510,1530
FLEV3,510,2040
FLEV4,510,4077
FLC,511,511
FLEV1,511,1532
FLEV2,511,1533
FLEV3,511,2044
FLEV4,511,4085
FLC,512,512
FLEV1,512,1535
FLEV2,512,1536
FLEV3,512,2048
FLEV4,512,4093
FLC,513,513
FLEV1,513,1538
FLEV2,513,1539
FLEV3,513,2052
FLEV4,513,4101
FLC,514,514
FLEV1,514,1541
FLEV2,514,1542
FLEV3,514,2056
FLEV4,514,4109
FLC,515,515
FLEV1,515,1544
FLEV2,515,1545
FLEV3,515,2060
FLEV4,515,4117
FLC,516,516
FLEV1,516,1547
FLEV2,516,1548
FLEV3,516,2064
FLEV4,516,4125
FLC,517,517
FLEV1,517,1550
FLEV2,517,1551
FLEV3,517,2068
FLEV4,517,4133
FLC,518,518
FLEV1,518,1553
FLEV2,518,1554
FLEV3,518,2072
FLEV4,518,4141
FLC,519,519
FLEV1,519,1556
FLEV2,519,1557
FLEV3,519,2076
FLEV4,519,4149
FLC,520,520
FLEV1,520,1559
FLEV2,520,1560
FLEV3,520,2080
FLEV4,520,4157
FLC,521,521
FLEV1,521,1562
FLEV2,521,1563
FLEV3,521,2084
FLEV4,521,4165
FLC,522,522
FLEV1,522,1565
FLEV2,522,1566
FLEV3,522,2088
FLEV4,522,4173
FLC,523,523
FLEV1,523,1568
FLEV2,523,1569
FLEV3,523,2092
FLEV4,523,4181
FLC,524,524
FLEV1,524,1571
FLEV2,524,1572
FLEV3,524,2096
FLEV4,524,4189
FLC,525,525
FLEV1,525,1574
FLEV2,525,1575
FLEV3,525,2100
FLEV4,525,4197
FLC,526,526
FLEV1,526,1577
FLEV2,526,1578
FLEV3,526,2104
FLEV4,526,4205
FLC,527,527
FLEV1,527,1580
FLEV2,527,1581
FLEV3,527,2108
FLEV4,527,4213
FLC,528,528
FLEV1,528,1583
FLEV2,528,1584
FLEV3,528,2112
FLEV4,528,4221
FLC,529,529
FLEV1,529,1586
FLEV2,529,1587
FLEV3,529,2116
FLEV4,529,4229
FLC,530,530
FLEV1,530,1589
FLEV2,530,1590
FLEV3,530,2120
FLEV4,530,4237
FLC,531,531
FLEV1,531,1592
FLEV2,531,1593
FLEV3,531,2124
FLEV4,531,4245
FLC,532,532
FLEV1,532,1595
FLEV2,532,1596
FLEV3,532,2128
FLEV4,532,4253
FLC,533,533
FLEV1,533,1598
FLEV2,533,1599
FLEV3,533,2132
FLEV4,533,4261
FLC,534,534
FLEV1,534,1601
FLEV2,534,1602
FLEV3,534,2136
FLEV4,534,4269
FLC,535,535
FLEV1,535,1604
FLEV2,535,1605
FLEV3,535,2140
FLEV4,535,4277
FLC,536,536
FLEV1,536,1607
FLEV2,536,1608
FLEV3,536,2144
FLEV4,536,4285
FLC,537,537
FLEV1,537,1610
FLEV2,537,1611
FLEV3,537,2148
FLEV4,537,4293
FLC,538,538
FLEV1,538,1613
FLEV2,538,1614
FLEV3,538,2152
FLEV4,538,4301
FLC,539,539
FLEV1,539,1616
FLEV2,539,1617
FLEV3,539,2156
FLEV4,539,4309
FLC,540,540
FLEV1,540,1619
FLEV2,540,1620
FLEV3,540,2160
FLEV4,540,4317
FLC,541,541
FLEV1,541,1622
FLEV2,541,1623
FLEV3,541,2164
FLEV4,541,4325
FLC,542,542
FLEV1,542,1625
FLEV2,542,1626
FLEV3,542,2168
FLEV4,542,4333
FLC,543,543
FLEV1,543,1628
FLEV2,543,1629
FLEV3,543,2172
FLEV4,543,4341
FLC,544,544
FLEV1,544,1631
FLEV2,544,1632
FLEV3,544,2176
FLEV4,544,4349
FLC,545,545
FLEV1,545,1634
FLEV2,545,1635
FLEV3,545,2180
FLEV4,545,4357
FLC,546,546
FLEV1,546,1637
FLEV2,546,1638
FLEV3,546,2184
FLEV4,546,4365
FLC,547,547
FLEV1,547,1640
FLEV2,547,1641
FLEV3,547,2188
FLEV4,547,4373
FLC,548,548
FLEV1,548,1643
FLEV2,548,1644
FLEV3,548,2192
FLEV4,548,4381
FLC,549,549
FLEV1,549,1646
FLEV2,549,1647
FLEV3,549,2196
FLEV4,549,4389
FLC,550,550
FLEV1,550,1649
FLEV2,550,1650
FLEV3,550,2200
FLEV4,550,4397
FLC,551,551
FLEV1,551,1652
FLEV2,551,1653
FLEV3,551,2204
FLEV4,551,4405
FLC,552,552
FLEV1,552,1655
FLEV2,552,1656
FLEV3,552,2208
FLEV4,552,4413
FLC,553,553
FLEV1,553,1658
FLEV2,553,1659
FLEV3,553,2212
FLEV4,553,4421
FLC,554,554
FLEV1,554,1661
FLEV2,554,1662
FLEV3,554,2216
FLEV4,554,4429
FLC,555,555
FLEV1,555,1664
FLEV2,555,1665
FLEV3,555,2220
FLEV4,555,4437
FLC,556,556
FLEV1,556,1667
FLEV2,556,1668
FLEV3,556,2224
FLEV4,556,4445
FLC,557,557
FLEV1,557,1670
